"Airport.Code","Airport.Name","Time.Label","Time.Month","Time.Month Name","TimeYear","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Statistics.Flights.Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2012/06","6","June","2012","1255","1876","1718","3","139","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","12","197","4993","114","28923","34227","100881","121301","66316","92","298416","9826"
"BOS","Boston, MA: Logan International","2012/06","6","June","2012","535","609","759","4","65","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","11","118","1970","12","6651","8751","29783","44599","36786","189","116834","5477"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2012/06","6","June","2012","436","669","516","5","69","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","68","1697","17","7392","9174","23832","40042","29964","221","104304","10245"
"CLT","Charlotte, NC: Charlotte Douglas International","2012/06","6","June","2012","450","449","425","3","46","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","10","118","1372","4","10017","11511","25742","27356","15620","180","73224","4326"
"DCA","Washington, DC: Ronald Reagan Washington National","2012/06","6","June","2012","334","323","349","3","40","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","153","1050","22","4634","5859","18861","22731","20519","59","65752","3582"
"DEN","Denver, CO: Denver International","2012/06","6","June","2012","1027","1605","1116","8","86","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","187","3843","113","16719","20862","64078","95170","42075","179","208725","7223"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2012/06","6","June","2012","814","1519","773","5","136","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","12","389","3244","148","19233","23014","75834","89128","42879","246","223048","14961"
"DTW","Detroit, MI: Detroit Metro Wayne County","2012/06","6","June","2012","383","454","405","0","44","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","53","1286","12","6771","8122","22736","30442","16393","10","72701","3120"
"EWR","Newark, NJ: Newark Liberty International","2012/06","6","June","2012","656","960","1259","3","49","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","10","172","2926","23","6792","9913","50890","70786","69342","75","194145","3052"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2012/06","6","June","2012","344","355","272","2","33","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","9","27","1006","4","4258","5295","19841","24844","11510","35","58126","1896"
"IAD","Washington, DC: Washington Dulles International","2012/06","6","June","2012","428","577","386","2","32","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","10","149","1424","12","4844","6429","29064","41365","17208","43","90235","2555"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2012/06","6","June","2012","1048","1459","1132","6","77","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","8","213","3721","132","11592","15658","69937","102474","51860","127","230775","6377"
"JFK","New York, NY: John F. Kennedy International","2012/06","6","June","2012","401","592","595","9","49","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","9","104","1644","54","6446","8248","28730","52572","33155","470","118210","3283"
"LAS","Las Vegas, NV: McCarran International","2012/06","6","June","2012","629","954","396","6","39","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","13","56","2026","12","10010","12104","31043","55268","13499","174","104338","4354"
"LAX","Los Angeles, CA: Los Angeles International","2012/06","6","June","2012","1049","1462","1078","12","91","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","13","222","3688","15","15463","19388","61592","95406","36659","511","200380","6212"
"LGA","New York, NY: LaGuardia","2012/06","6","June","2012","351","431","829","1","63","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","246","1674","48","6184","8152","21750","32229","48865","37","108892","6011"
"MCO","Orlando, FL: Orlando International","2012/06","6","June","2012","636","675","541","2","44","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","52","1898","33","8309","10292","38686","45063","19484","107","107959","4619"
"MDW","Chicago, IL: Chicago Midway International","2012/06","6","June","2012","381","696","255","12","27","Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Southwest Airlines Co.","4","32","1369","38","6235","7674","19462","35551","8452","300","65484","1719"
"MIA","Miami, FL: Miami International","2012/06","6","June","2012","332","408","402","3","49","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","8","62","1194","44","4981","6281","25558","31874","16263","94","77881","4092"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2012/06","6","June","2012","444","488","413","3","46","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","54","1394","35","8181","9664","33100","33506","19451","152","90503","4294"
"ORD","Chicago, IL: Chicago O'Hare International","2012/06","6","June","2012","1232","1868","1304","7","104","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","12","494","4513","76","22078","27161","109221","129262","69190","207","317085","9205"
"PDX","Portland, OR: Portland International","2012/06","6","June","2012","299","340","189","1","16","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","20","840","5","4083","4948","14707","20607","5821","39","42254","1080"
"PHL","Philadelphia, PA: Philadelphia International","2012/06","6","June","2012","322","355","478","1","32","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","12","53","1191","10","5375","6629","18918","20942","22016","13","64397","2508"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2012/06","6","June","2012","581","823","416","12","32","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","14","129","1865","14","13694","15702","32837","43493","12188","684","91056","1854"
"SAN","San Diego, CA: San Diego International","2012/06","6","June","2012","463","505","204","2","25","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","60","1197","5","5510","6772","24077","30129","6854","66","63023","1897"
"SEA","Seattle, WA: Seattle/Tacoma International","2012/06","6","June","2012","555","483","472","4","36","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","40","1547","8","7906","9501","28117","31124","14599","148","77136","3148"
"SFO","San Francisco, CA: San Francisco International","2012/06","6","June","2012","818","1342","2061","6","115","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","384","4345","24","10184","14937","58053","100850","162865","306","332278","10204"
"SLC","Salt Lake City, UT: Salt Lake City International","2012/06","6","June","2012","358","426","173","3","20","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","10","41","978","15","8445","9479","20494","24885","5902","57","53000","1662"
"TPA","Tampa, FL: Tampa International","2012/06","6","June","2012","419","384","287","4","34","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","8","31","1130","17","4498","5676","21988","25067","10706","152","60953","3040"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2012/07","7","July","2012","1627","2628","2950","6","254","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","12","386","7465","172","26892","34915","128745","195296","161440","341","508667","22845"
"BOS","Boston, MA: Logan International","2012/07","7","July","2012","586","779","682","1","72","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","89","2121","10","6740","8960","36334","64312","36960","75","144531","6850"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2012/07","7","July","2012","489","879","769","5","129","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","100","2273","20","7037","9430","31177","61497","42182","159","149069","14054"
"CLT","Charlotte, NC: Charlotte Douglas International","2012/07","7","July","2012","475","711","860","2","86","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","10","107","2132","43","8991","11273","27877","48832","36651","116","120127","6651"
"DCA","Washington, DC: Ronald Reagan Washington National","2012/07","7","July","2012","342","385","687","1","87","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","171","1502","20","4429","6122","19844","28658","39322","41","95685","7820"
"DEN","Denver, CO: Denver International","2012/07","7","July","2012","1128","2254","1139","8","133","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","220","4666","25","17257","22168","69281","142940","43457","181","265347","9488"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2012/07","7","July","2012","999","1839","1275","2","247","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","12","390","4363","192","18667","23612","84384","114162","64791","53","285631","22241"
"DTW","Detroit, MI: Detroit Metro Wayne County","2012/07","7","July","2012","458","619","592","1","76","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","103","1744","29","6076","7952","33304","45411","29635","42","115340","6948"
"EWR","Newark, NJ: Newark Liberty International","2012/07","7","July","2012","721","1128","1433","1","107","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","10","379","3389","67","6144","9979","62209","91446","111279","55","277181","12192"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2012/07","7","July","2012","449","484","343","4","48","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","35","1328","22","4114","5499","25389","34403","14641","107","79088","4548"
"IAD","Washington, DC: Washington Dulles International","2012/07","7","July","2012","480","861","515","0","51","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","9","191","1907","22","4412","6532","32694","71520","31606","0","140801","4981"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2012/07","7","July","2012","1213","2173","1562","9","120","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","9","432","5080","74","11054","16640","94216","172797","100201","207","380335","12914"
"JFK","New York, NY: John F. Kennedy International","2012/07","7","July","2012","445","635","927","5","80","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America","9","132","2089","52","6518","8791","32188","51299","64836","194","155004","6487"
"LAS","Las Vegas, NV: McCarran International","2012/07","7","July","2012","624","1051","426","8","75","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","13","49","2182","34","10176","12441","32560","60647","15890","141","114313","5075"
"LAX","Los Angeles, CA: Los Angeles International","2012/07","7","July","2012","1182","1812","925","13","136","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","13","211","4070","26","16072","20379","74288","119703","35476","429","240525","10629"
"LGA","New York, NY: LaGuardia","2012/07","7","July","2012","436","543","1071","0","96","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","334","2146","60","6129","8669","30959","38757","76631","0","158783","12436"
"MCO","Orlando, FL: Orlando International","2012/07","7","July","2012","747","938","682","9","68","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","61","2442","17","8251","10771","44841","67981","27505","195","146431","5909"
"MDW","Chicago, IL: Chicago Midway International","2012/07","7","July","2012","391","862","431","7","42","Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Southwest Airlines Co.","4","37","1733","31","6175","7976","19449","53578","16056","207","92326","3036"
"MIA","Miami, FL: Miami International","2012/07","7","July","2012","381","454","405","3","67","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","7","63","1310","24","5068","6465","28945","31877","16890","115","82291","4464"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2012/07","7","July","2012","511","511","345","0","52","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","69","1423","20","8842","10354","38551","32238","12960","7","88083","4327"
"ORD","Chicago, IL: Chicago O'Hare International","2012/07","7","July","2012","1527","3014","2108","8","201","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","12","824","6860","110","19863","27657","128760","230402","127465","215","503942","17100"
"PDX","Portland, OR: Portland International","2012/07","7","July","2012","277","422","115","1","26","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","26","843","5","4312","5186","14454","27559","5097","18","49253","2125"
"PHL","Philadelphia, PA: Philadelphia International","2012/07","7","July","2012","390","441","692","6","74","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.,Mesa Airlines Inc.","12","83","1603","17","5189","6892","24109","29273","37761","259","97201","5799"
"PHX","Phoenix, AZ: Phoenix Sky Harbor International","2012/07","7","July","2012","683","1039","606","9","82","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","14","106","2413","67","13484","16070","37238","60205","20255","330","123586","5558"
"SAN","San Diego, CA: San Diego International","2012/07","7","July","2012","497","616","195","2","46","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","63","1357","4","5611","7035","25039","40376","7897","66","76668","3290"
"SEA","Seattle, WA: Seattle/Tacoma International","2012/07","7","July","2012","530","629","262","8","55","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","39","1483","6","8431","9959","30267","41075","10586","191","86198","4079"
"SFO","San Francisco, CA: San Francisco International","2012/07","7","July","2012","875","1774","2077","9","142","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","394","4877","15","10425","15711","63540","134303","156068","220","366008","11877"
"SLC","Salt Lake City, UT: Salt Lake City International","2012/07","7","July","2012","413","576","245","2","29","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","9","52","1266","6","8520","9844","25616","33615","8108","54","69530","2137"
"TPA","Tampa, FL: Tampa International","2012/07","7","July","2012","443","542","341","3","58","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","8","38","1387","13","4441","5879","26472","38535","15510","94","85052","4441"
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","2012/08","8","August","2012","1360","2348","2312","3","167","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","12","463","6190","78","27993","34724","113241","164333","107493","183","400289","15039"
"BOS","Boston, MA: Logan International","2012/08","8","August","2012","588","720","556","2","57","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","98","1923","6","7113","9140","35288","53896","26395","74","119756","4103"
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","2012/08","8","August","2012","430","727","688","5","111","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","10","72","1961","29","6947","9009","24355","47667","37153","124","119817","10518"
"CLT","Charlotte, NC: Charlotte Douglas International","2012/08","8","August","2012","485","555","685","4","60","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.","10","129","1789","18","9447","11383","28189","35885","24678","143","93064","4169"
"DCA","Washington, DC: Ronald Reagan Washington National","2012/08","8","August","2012","386","387","588","1","48","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","13","142","1409","23","4729","6303","22955","28298","29686","160","85206","4107"
"DEN","Denver, CO: Denver International","2012/08","8","August","2012","1074","1619","749","10","60","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","144","3514","23","18082","21763","66887","94871","28187","389","194186","3852"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2012/08","8","August","2012","961","1819","1185","6","151","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Mesa Airlines Inc.","12","403","4123","123","19251","23900","80258","109700","45499","280","247737","12000"
"DTW","Detroit, MI: Detroit Metro Wayne County","2012/08","8","August","2012","386","556","272","1","39","American Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.","11","83","1254","8","6787","8132","25900","38355","11393","61","79159","3450"
