"Airport.Code","Airport.Name","Time.Label","Time.Month","Time.Month Name","TimeYear","Statistics.# of Delays.Carrier","Statistics.# of Delays.Late Aircraft","Statistics.# of Delays.National Aviation System","Statistics.# of Delays.Security","Statistics.# of Delays.Weather","Statistics.Carriers.Names","Statistics.Carriers.Total","Statistics.Flights.Cancelled","Statistics.Flights.Delayed","Statistics.Flights.Diverted","Statistics.Flights.On Time","Statistics.Flights.Total","Statistics.Minutes Delayed.Carrier","Statistics.Minutes Delayed.Late Aircraft","Statistics.Minutes Delayed.National Aviation System","Statistics.Minutes Delayed.Security","Statistics.Minutes Delayed.Total","Statistics.Minutes Delayed.Weather"
"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","2015/05","5","May","2015","1139","1704","1860","7","286","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","11","839","4997","230","16097","22163","108093","132272","92808","410","370503","36920"
"DTW","Detroit, MI: Detroit Metro Wayne County","2015/05","5","May","2015","487","629","416","3","49","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","12","52","1584","10","8803","10449","37258","43504","21638","88","107304","4816"
"EWR","Newark, NJ: Newark Liberty International","2015/05","5","May","2015","413","566","539","1","56","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","9","123","1573","44","7523","9263","27875","40692","39231","25","113050","5227"
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","2015/05","5","May","2015","388","437","254","6","35","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","10","41","1120","3","5348","6512","21386","32618","11571","218","68355","2562"
"IAD","Washington, DC: Washington Dulles International","2015/05","5","May","2015","191","195","132","0","26","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.","10","19","548","3","2674","3244","10854","15248","5912","0","33715","1701"
"IAH","Houston, TX: George Bush Intercontinental/Houston","2015/05","5","May","2015","776","1168","1685","3","148","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","9","350","3781","164","10125","14420","56324","93566","90906","260","258045","16989"
"JFK","New York, NY: John F. Kennedy International","2015/05","5","May","2015","332","386","792","1","41","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America","8","84","1551","21","7222","8878","24663","31043","62091","26","121386","3563"
"LAS","Las Vegas, NV: McCarran International","2015/05","5","May","2015","641","1075","570","6","76","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","71","2367","9","10297","12744","34397","63893","23211","288","128283","6494"
"LAX","Los Angeles, CA: Los Angeles International","2015/05","5","May","2015","1045","1209","1253","6","141","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","108","3654","13","14203","17978","59050","76775","43589","214","190649","11021"
"LGA","New York, NY: LaGuardia","2015/05","5","May","2015","449","532","909","4","78","American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","12","278","1970","96","7080","9424","31517","37051","73619","123","148735","6425"
"MCO","Orlando, FL: Orlando International","2015/05","5","May","2015","643","626","375","2","46","American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.","11","60","1695","10","8625","10390","40397","42755","14675","121","101334","3386"
"MDW","Chicago, IL: Chicago Midway International","2015/05","5","May","2015","351","546","292","2","100","Delta Air Lines Inc.,ExpressJet Airlines Inc.,Southwest Airlines Co.","3","88","1289","32","6182","7591","19332","34376","12346","48","76163","10061"
"MIA","Miami, FL: Miami International","2015/05","5","May","2015","374","348","436","2","44","American Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.","7","28","1205","6","5101","6340","30029","25960","14411","75","74867","4392"
"MSP","Minneapolis, MN: Minneapolis-St Paul International","2015/05","5","May","2015","458","525","567","1","51","American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.","11","54","1602","10","8815","10481","35005","35990","21079","16","96216","4126"
